Item No,Description of Work,Scheduled Value,Work Completed (Previous),Work Completed (This Period),Materials Presently Stored,Total Completed & Stored to Date,Percent Complete,Balance to Finish,Retainage %,Retainage (Total to Date),Net Earned (Less Retainage)
1,Mobilization / Project Setup,15000,15000,0,0,15000,100.00%,0,10%,1500,13500
2,Demolition & Prep,28000,12000,8000,0,20000,71.43%,8000,10%,2000,18000
3,Concrete - Footings & Slab,95000,35000,22000,5000,62000,65.26%,33000,10%,6200,55800
4,Structural Steel,120000,30000,25000,15000,70000,58.33%,50000,10%,7000,63000
5,Framing / Carpentry,80000,0,18000,0,18000,22.50%,62000,10%,1800,16200
6,Rough Electrical,65000,0,12000,4000,16000,24.62%,49000,10%,1600,14400
7,Rough Plumbing,52000,0,9000,0,9000,17.31%,43000,10%,900,8100
8,HVAC Rough-In,78000,0,15000,6000,21000,26.92%,57000,10%,2100,18900
9,Exterior Envelope (Masonry/Siding),110000,0,0,20000,20000,18.18%,90000,10%,2000,18000
10,Doors / Frames / Hardware,34000,0,0,8000,8000,23.53%,26000,10%,800,7200
11,Drywall & Finishes,90000,0,0,0,0,0.00%,90000,10%,0,0
12,Flooring,42000,0,0,0,0,0.00%,42000,10%,0,0
13,Punch List / Closeout,18000,0,0,0,0,0.00%,18000,10%,0,0
